name,rating,numberofbik,WatchthisMonth,asian restaurant,italian restaurant,gril restaurant,mediterranean restaurant,chef restaurant,sitting outside,smoke area,sea food,coffe shop,delivery,burger shop,online order,Converted_Kosher,Price_Convert
99,8.7,53,563,0,1,0,0,0,1,1,0,0,1,0,0,0,1
100,8.4,353,107,0,1,0,0,0,1,1,0,1,1,0,1,1,1
101,8.5,872,451,0,0,1,0,0,1,1,0,0,0,0,0,1,0
102,8.3,488,151,1,0,1,0,0,1,0,0,0,1,0,1,1,1
103,8.2,2569,766,0,0,1,0,0,0,1,0,1,0,0,0,0,1
104,7.7,1088,245,1,0,1,0,0,0,0,0,0,1,0,1,1,1
105,7.8,719,332,0,1,0,0,0,1,0,0,1,0,0,0,1,1
107,9.1,368,648,0,0,1,0,0,0,0,0,0,1,0,0,0,0
108,8.2,779,138,0,0,1,0,0,0,0,0,1,1,0,1,0,1
109,7.9,177,401,0,1,0,0,0,1,1,0,1,1,0,0,1,1
113,8.6,2359,1016,0,0,1,0,0,0,0,0,0,1,1,1,0,1
115,8.3,12,246,0,1,0,0,0,0,0,0,0,0,0,0,0,1
116,7.0,151,83,0,1,0,0,0,1,1,0,0,1,0,0,0,1
117,8.4,3056,751,0,0,1,0,0,0,0,0,0,1,0,1,1,1
118,8.7,50,793,0,0,1,0,0,1,0,0,0,1,0,1,1,1
119,8.0,30,113,0,0,1,0,0,1,1,0,0,0,0,0,1,1
121,8.7,2674,676,0,0,1,0,0,1,0,0,0,1,0,1,1,0
122,8.3,17,1056,0,1,0,0,0,0,1,0,0,1,0,1,1,1
125,8.3,25,151,1,1,0,0,0,0,1,0,0,1,0,1,1,1
126,7.5,9,93,0,0,1,0,0,1,0,0,0,0,0,0,1,1
127,8.4,761,270,0,0,1,0,0,0,0,0,0,1,1,1,0,1
128,8.4,549,175,0,0,1,0,0,0,0,0,0,1,0,1,1,1
129,7.9,195,468,1,1,0,0,0,0,0,0,0,1,0,1,1,1
130,8.2,358,212,0,1,0,0,0,0,0,0,1,0,0,0,1,1
132,8.3,3717,552,0,0,1,0,0,0,0,0,0,1,0,1,1,0
133,9.1,451,274,1,0,0,0,0,1,0,0,1,0,0,0,1,1
134,8.7,1454,546,0,0,0,0,0,1,1,0,1,0,0,0,0,1
135,8.5,89,733,0,0,0,0,0,1,0,0,1,1,0,1,0,1
136,8.1,789,304,0,0,1,0,0,1,0,0,0,0,0,0,1,1
137,7.4,118,749,0,1,0,0,0,0,0,0,1,0,0,0,0,1
138,7.6,93,236,0,1,1,0,0,0,0,0,1,0,0,0,0,1
139,8.0,3257,182,0,0,0,0,0,1,1,0,1,0,1,0,0,0
142,8.4,24,505,0,0,1,0,0,1,1,0,0,0,0,0,0,1
143,8.1,2063,98,1,0,0,0,0,0,0,0,0,1,0,1,1,1
144,8.7,980,503,0,0,0,0,0,1,0,0,1,0,0,0,0,1
145,8.7,1158,1080,0,0,0,0,0,1,0,0,1,1,0,1,0,0
146,8.8,1815,658,0,0,1,0,0,1,1,0,0,1,0,1,1,1
147,8.5,221,306,1,0,0,0,0,1,1,0,0,1,0,1,1,2
148,8.9,1668,1165,0,0,0,0,0,1,1,0,1,1,0,1,0,1
149,8.2,239,483,0,0,1,0,0,1,1,0,0,1,1,1,0,1
150,7.9,146,379,0,0,0,0,0,0,0,0,0,1,1,1,1,1
151,8.8,215,460,0,0,1,0,0,1,0,0,0,1,0,0,1,0
152,7.2,1635,140,1,0,0,0,0,0,0,0,0,1,0,1,1,1
153,8.7,116,591,1,0,0,0,0,0,0,0,0,1,1,0,0,0
155,7.6,560,214,0,1,0,0,0,0,0,0,1,1,0,1,1,1
