name,rating,numberofbik,price,WatchthisMonth,Kosher,Address,asian restaurant,italian restaurant,gril restaurant,mediterranean restaurant,chef restaurant,sitting outside,smoke area,sea food,coffe shop,delivery,burger shop,online order,City,Street,Converted_Kosher,Price_Convert
בליקר בייקרי,7.9,840,מחיר סביר,205,כשר,"קניון רננים, רעננה",0,1,0,0,0,1,1,0,1,1,0,1,רעננה,קניון רננים,1,1
Red Heifer Steakhouse,8.2,504,מחיר יקר,122,כשר,"דוד המלך 26, ירושלים",0,0,1,0,0,1,1,0,0,0,0,0,ירושלים,דוד המלך 26,1,2
רונן בשרים פיתה אקספרס,7,116,מחיר סביר,180,כשר,"שער העמק 2, נתניה",0,0,1,0,0,1,1,0,0,1,0,1,נתניה,שער העמק 2,1,1
קפה קפה,7.6,1121,מחיר סביר,240,כשר,"סוקולוב 48, חולון",0,0,0,0,0,0,0,0,1,1,0,1,חולון,סוקולוב 48,1,1
מוקפץ תאילנדי,8.1,360,מחיר סביר,342,כשר,"שדרות הגעתון 28, נהריה (קניון פנורמה)",1,0,1,0,0,1,1,0,0,1,0,1,נהריה ,שדרות הגעתון 28,1,1
אייקון פיטנס,8.9,264,מחיר זול,249,לא כשר,"רחבעם זאבי 4, אשקלון",1,0,0,0,0,0,0,0,0,1,0,1,אשקלון,רחבעם זאבי 4,0,0
פיצה פרמזנו,8.9,374,מחיר סביר,307,כשר,"סנונית 18, נס ציונה",0,1,0,0,0,1,1,0,0,1,0,1,נס ציונה,סנונית 18,1,1
ארקפה,8.5,1894,מחיר סביר,611,לא כשר,"יצחק רבין 2, קרית אונו",0,0,0,0,0,1,1,0,1,1,0,1,קרית אונו,יצחק רבין 2,0,1
קניאל בשרים,8.4,2270,מחיר זול,759,לא כשר,"דרך בן צבי 106, תל אביב יפו",0,0,1,0,0,0,0,0,0,0,0,0,תל אביב יפו,דרך בן צבי 106,0,0
תמרלין,8.8,500,מחיר סביר,1122,לא כשר,נהלל,0,0,1,0,0,0,0,0,1,1,0,1,נהלל,0,0,1
ריקו ריקו,9.2,116,מחיר סביר,1748,כשר,"שדרות חיים וייצמן 9, רמלה",0,0,1,0,0,1,0,0,0,1,1,1,רמלה,שדרות חיים וייצמן 9,1,1
אמורה מיו,9,8628,מחיר סביר,2352,לא כשר,"אבן גבירול 100, תל אביב יפו",0,1,0,0,0,1,0,0,0,1,0,1,תל אביב יפו,אבן גבירול 100,0,1
בלה,9,2946,מחיר סביר,1130,לא כשר,"העץ הגדול 2142, בית שערים",0,1,1,1,1,1,1,0,0,0,0,1,בית שערים,העץ הגדול 2142,0,1
מוזס,7.8,3713,מחיר סביר,359,לא כשר,"ברל כצנלסון 10, כפר סבא",0,0,1,0,0,1,0,0,0,1,1,1,כפר סבא,ברל כצנלסון 10,0,1
רנדבו,8.6,383,מחיר סביר,242,כשר,"דרך בית לחם 110, ירושלים",0,1,0,0,0,1,0,0,0,0,0,0,ירושלים,דרך בית לחם 110,1,1
מיץ מרק,8.6,1738,מחיר זול,163,לא כשר,"כצנלסון 49, גבעתיים",0,0,0,0,0,1,1,0,1,0,0,0,גבעתיים,כצנלסון 49,0,0
אסייתיקה,8,1602,מחיר סביר,404,כשר,"יצחק אבינו 5, באר שבע",1,0,0,0,0,1,0,0,0,1,0,1,באר שבע,יצחק אבינו 5,1,1
Balabait,8.8,1805,מחיר סביר,929,לא כשר,"הרצל 207, רחובות",0,0,0,0,1,1,1,0,0,1,1,1,רחובות,הרצל 207,0,1
דרך האוכל,7.5,131,מחיר סביר,157,לא כשר,"חניתה 16, חיפה",0,0,1,0,0,0,0,0,0,1,0,0,חיפה,חניתה 16,0,1
פיצה איקס PIZZA X,8.9,492,מחיר סביר,1292,לא כשר,"עמק החולה 76, מודיעין מכבים רעות (קאנטרי סנטר)",0,1,0,0,0,0,0,0,0,1,0,1,מודיעין מכבים רעות ,עמק החולה 76,0,1
מטעמי הבית,8.7,353,מחיר זול,271,כשר,"הצורף 1, חולון",0,0,1,0,0,0,0,0,0,1,0,0,חולון,הצורף 1,1,0
סושי ברייק Sushi Break,8.8,313,מחיר סביר,637,כשר,"דרך בר יהודה 64, נשר",1,0,0,0,0,0,0,0,0,1,0,1,נשר,דרך בר יהודה 64,1,1
ביגה,8.2,1149,מחיר סביר,484,כשר,"חורב 12, חיפה",0,1,0,0,0,1,1,0,1,1,0,1,חיפה,חורב 12,1,1
שיפודי הטאבון,8.7,668,מחיר סביר,751,כשר,"מבוא קדם, הוד השרון",0,0,1,0,0,1,1,0,0,1,0,1,הוד השרון,מבוא קדם,1,1
בלאק בר בורגר,8.5,1718,מחיר סביר,547,לא כשר,"קניון גבעתיים, גבעתיים",0,0,1,0,0,1,1,0,0,1,1,1,גבעתיים,קניון גבעתיים,0,1
